nss_state_name,nss_district_code,district_name,spei_state_name,spei_district_code,nss_state_code,NSS_code,nss_district_code19
Maharashtra,31,satara,MAHARASHTRA,584,27,272,2731
Maharashtra,33,sindhudurg,MAHARASHTRA,588,27,271,2733
Maharashtra,30,solapur,MAHARASHTRA,592,27,272,2730
Maharashtra,21,thane,MAHARASHTRA,600,27,271,2721
Maharashtra,8,wardha,MAHARASHTRA,610,27,275,2708
Maharashtra,6,washim,MAHARASHTRA,611,27,275,2706
Maharashtra,14,yavatmal,MAHARASHTRA,615,27,275,2714
Manipur,4,bishnupur,MANIPUR,75,14,141,1404
Manipur,9,chandel,MANIPUR,86,14,142,1409
Manipur,3,churachandpur,MANIPUR,98,14,142,1403
Manipur,7,imphal east,MANIPUR,428,14,141,1407
Manipur,6,imphal west,MANIPUR,171,14,141,1406
Manipur,1,senapati,MANIPUR,585,14,142,1401
Manipur,2,tamenglong,MANIPUR,597,14,142,1402
Manipur,5,thoubal,MANIPUR,601,14,141,1405
Manipur,8,ukhrul,MANIPUR,513,14,142,1408
Meghalaya,2,east garo hills,MEGHALAYA,130,17,171,1702
Meghalaya,6,east khasi hills,MEGHALAYA,132,17,171,1706
Meghalaya,7,jaintia hills,MEGHALAYA,215,17,171,1707
Meghalaya,5,ribhoi,MEGHALAYA,405,17,171,1705
Meghalaya,3,south garo hills,MEGHALAYA,348,17,171,1703
Meghalaya,1,west garo hills,MEGHALAYA,384,17,171,1701
Meghalaya,4,west khasi hills,MEGHALAYA,386,17,171,1704
Mizoram,3,aizwal,MIZORAM,411,15,151,1503
Mizoram,4,champhai,MIZORAM,84,15,151,1504
Mizoram,2,kolasib,MIZORAM,394,15,151,1502
Mizoram,7,lawngtlai,MIZORAM,392,15,151,1507
Mizoram,6,lunglei,MIZORAM,396,15,151,1506
Mizoram,1,mamit,MIZORAM,395,15,151,1501
Mizoram,8,saiha,MIZORAM,315,15,151,1508
Mizoram,5,serchhip,MIZORAM,393,15,151,1505
Nagaland,5,dimapur,NAGALAND,616,13,131,1305
Nagaland,9,kiphire,NAGALAND,618,13,131,1309
Nagaland,10,kohima,NAGALAND,617,13,131,1310
Nagaland,8,longleng,NAGALAND,625,13,131,1308
Nagaland,2,mokokchung,NAGALAND,620,13,131,1302
Nagaland,1,mon,NAGALAND,621,13,138,1301
Nagaland,1,mon,NAGALAND,621,13,131,1301
Nagaland,11,peren,NAGALAND,476,13,131,1311
Nagaland,6,phek,NAGALAND,514,13,131,1306
Nagaland,7,tuensang,NAGALAND,622,13,131,1307
Nagaland,4,wokha,NAGALAND,537,13,131,1304
Nagaland,3,zunheboto,NAGALAND,619,13,131,1303
Odisha,15,anugul,ODISHA,26,21,213,2115
Odisha,24,balangir,ODISHA,38,21,212,2124
Odisha,8,baleshwar,ODISHA,39,21,211,2108
Odisha,1,bargarh,ODISHA,50,21,213,2101
Odisha,22,baudh,ODISHA,391,21,212,2122
Odisha,9,bhadrak,ODISHA,63,21,211,2109
Odisha,12,cuttack,ODISHA,101,21,211,2112
Odisha,4,debagarh,ODISHA,112,21,213,2104
Odisha,14,dhenkanal,ODISHA,122,21,213,2114
Odisha,20,gajapati,ODISHA,141,21,212,2120
Odisha,19,ganjam,ODISHA,142,21,212,2119
Odisha,11,jagatsinghapur,ODISHA,174,21,211,2111
Odisha,13,jajapur,ODISHA,177,21,211,2113
Odisha,2,jharsuguda,ODISHA,188,21,213,2102
Odisha,26,kalahandi,ODISHA,194,21,212,2126
Odisha,21,kandhamal,ODISHA,195,21,212,2121
Odisha,10,kendrapara,ODISHA,208,21,211,2110
Odisha,6,kendujhar,ODISHA,209,21,213,2106
Odisha,17,khordha,ODISHA,211,21,211,2117
Odisha,29,koraput,ODISHA,222,21,212,2129
Odisha,30,malkangiri,ODISHA,244,21,212,2130
Odisha,7,mayurbhanj,ODISHA,251,21,213,2107
Odisha,28,nabarangapur,ODISHA,259,21,212,2128
Odisha,16,nayagarh,ODISHA,265,21,211,2116
Odisha,25,nuapada,ODISHA,277,21,212,2125
Odisha,18,puri,ODISHA,294,21,211,2118
Odisha,3,sambalpur,ODISHA,316,21,213,2103
Odisha,23,subarnapur,ODISHA,353,21,212,2123
Odisha,5,sundargarh,ODISHA,356,21,213,2105
Puducherry,4,karaikal,PUDUCHERRY,202,34,341,3404
Puducherry,3,mahe,PUDUCHERRY,238,34,341,3403
Puducherry,2,puducherry,PUDUCHERRY,292,34,341,3402
Puducherry,1,yanam,PUDUCHERRY,390,34,341,3401
Punjab,15,amritsar,PUNJAB,447,3,31,315
Punjab,20,barnala,PUNJAB,456,3,32,320
Punjab,12,bhatinda,PUNJAB,457,3,32,312
Punjab,11,faridkot,PUNJAB,480,3,32,311
Punjab,6,fatehgarh sahib,PUNJAB,482,3,32,306
Punjab,22,fazilka,PUNJAB,483,3,32,322
Punjab,9,firozpur,PUNJAB,484,3,32,309
